Survived,Pclass,Sex_Encoded,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S,Age_Standardized,Fare_Standardized
0,3,1,22.0,1,0,7.25,False,True,-0.5657364610748746,-0.5024451714361923
1,3,0,26.0,0,0,7.925,False,True,-0.2583370877897099,-0.4888542575852486
1,1,0,35.0,1,0,53.1,False,True,0.4333115021019107,0.4207302360686478
0,3,1,35.0,0,0,8.05,False,True,0.4333115021019107,-0.4863374216869257
0,3,1,28.0,0,0,8.4583,True,False,-0.10463740114712752,-0.47811642890864375
0,1,1,54.0,0,0,51.8625,False,True,1.893458525206443,0.395813560675251
1,3,0,27.0,0,2,11.1333,False,True,-0.1814872444684187,-0.4242561406845337
1,2,0,14.0,1,0,30.0708,False,False,-1.180535207645204,-0.04295550208861426
1,3,0,4.0,1,1,16.7,False,True,-1.949033640858116,-0.312172377522981
0,3,1,20.0,0,0,8.05,False,True,-0.719436147717457,-0.4863374216869257
0,3,1,39.0,1,5,31.275,False,True,0.7407108753870755,-0.01870931177853076
0,3,0,14.0,0,0,7.8542,False,True,-1.180535207645204,-0.4902797934380587
1,2,1,28.0,0,0,13.0,False,True,-0.10463740114712752,-0.3866707201133388
0,3,0,31.0,1,0,18.0,False,True,0.12591212881674602,-0.2859972841804228
1,3,0,28.0,0,0,7.225,False,False,-0.10463740114712752,-0.5029485386158568
0,2,1,35.0,0,0,26.0,False,True,0.4333115021019107,-0.12491978668775715
1,2,1,34.0,0,0,13.0,False,True,0.35646165878061953,-0.3866707201133388
1,3,0,15.0,0,0,8.0292,True,False,-1.1036853643239128,-0.4867562231804066
1,1,1,28.0,0,0,35.5,False,True,-0.10463740114712752,0.06635974158478332
0,3,0,8.0,3,1,21.075,False,True,-1.6416342675729512,-0.22408312108167944
1,3,0,38.0,1,5,31.3875,False,True,0.6638610320657843,-0.016444159470040135
0,3,1,28.0,0,0,7.225,False,False,-0.10463740114712752,-0.5029485386158568
1,3,0,28.0,0,0,7.8792,True,False,-0.10463740114712752,-0.48977642625839407
0,3,1,28.0,0,0,7.8958,False,True,-0.10463740114712752,-0.4894421904510968
0,1,1,40.0,0,0,27.7208,False,False,0.8175607187083667,-0.09027201697708476
1,3,0,28.0,0,0,7.75,True,False,-0.10463740114712752,-0.49237782784290063
0,1,1,42.0,1,0,52.0,False,True,0.9712604053509489,0.39858208016340624
1,3,1,28.0,0,0,7.2292,False,False,-0.10463740114712752,-0.5028639729296732
0,3,1,21.0,0,0,8.05,False,True,-0.6425863043961658,-0.4863374216869257
0,3,0,18.0,2,0,18.0,False,True,-0.8731358343600393,-0.2859972841804228
1,3,0,14.0,1,0,11.2417,False,False,-1.180535207645204,-0.42207354059350805
0,3,0,40.0,1,0,9.475,False,True,0.8175607187083667,-0.4576454924460446
0,2,0,27.0,1,0,21.0,False,True,-0.1814872444684187,-0.22559322262067316
0,3,1,28.0,0,0,7.8958,False,False,-0.10463740114712752,-0.4894421904510968
1,2,0,3.0,1,2,41.5792,False,False,-2.025883484179407,0.18876253192945994
1,3,0,19.0,0,0,7.8792,True,False,-0.7962859910387481,-0.48977642625839407
0,3,1,28.0,0,0,8.05,False,True,-0.10463740114712752,-0.4863374216869257
0,3,1,28.0,1,0,15.5,True,False,-0.10463740114712752,-0.3363340021468808
1,3,0,28.0,0,0,7.75,True,False,-0.10463740114712752,-0.49237782784290063
0,3,1,28.0,2,0,21.6792,False,False,-0.10463740114712752,-0.21191774308354583
0,3,0,18.0,1,0,17.8,False,True,-0.8731358343600393,-0.29002422161773944
0,3,1,7.0,4,1,39.6875,False,True,-1.7184841108942424,0.1506737441786005
0,3,1,21.0,0,0,7.8,False,True,-0.6425863043961658,-0.4913710934835715
1,2,0,29.0,1,0,26.0,False,True,-0.027787557825836348,-0.12491978668775715
1,1,1,28.0,0,0,35.5,False,True,-0.10463740114712752,0.06635974158478332
1,2,0,21.0,0,0,10.5,False,True,-0.6425863043961658,-0.43700743807979686
0,3,1,28.5,0,0,7.2292,False,False,-0.06621247948648194,-0.5028639729296732
1,2,0,5.0,1,2,27.75,False,True,-1.8721837975368247,-0.08968408411123653
0,3,1,11.0,5,2,46.9,False,True,-1.4110847376090776,0.2958951755118318
0,3,1,22.0,0,0,7.2292,False,False,-0.5657364610748746,-0.5028639729296732
0,3,1,4.0,3,2,27.9,False,True,-1.949033640858116,-0.08666388103324908
0,1,1,28.0,0,0,27.7208,False,False,-0.10463740114712752,-0.09027201697708476
1,3,1,28.0,1,1,15.2458,False,False,-0.10463740114712752,-0.3414522396297103
1,2,0,29.0,0,0,10.5,False,True,-0.027787557825836348,-0.43700743807979686
0,3,1,19.0,0,0,8.1583,False,True,-0.7962859910387481,-0.4841568350646187
1,3,0,17.0,4,2,7.925,False,True,-0.9499856776813305,-0.4888542575852486
0,3,1,26.0,2,0,8.6625,False,True,-0.2583370877897099,-0.47400492578514347
0,2,1,32.0,0,0,10.5,False,True,0.20276197213803718,-0.43700743807979686
0,3,0,16.0,5,2,46.9,False,True,-1.0268355210026217,0.2958951755118318
0,3,1,26.0,1,0,14.4542,False,False,-0.2583370877897099,-0.3573908580066095
1,3,1,32.0,0,0,56.4958,False,True,0.20276197213803718,0.48910360681684706
0,3,1,25.0,0,0,7.65,False,True,-0.33518693111100106,-0.494391296561559
0,3,1,28.0,0,0,7.8958,False,True,-0.10463740114712752,-0.4894421904510968
0,3,1,28.0,0,0,8.05,False,True,-0.10463740114712752,-0.4863374216869257
1,3,0,30.0,0,0,12.475,False,True,0.04906228549545483,-0.397241430886295
0,3,1,22.0,0,0,9.0,False,True,-0.5657364610748746,-0.46720946885967163
1,3,1,29.0,0,0,9.5,False,True,-0.027787557825836348,-0.45714212526638004
1,3,0,28.0,0,0,7.7875,True,False,-0.10463740114712752,-0.49162277707340374
0,1,1,28.0,0,0,47.1,False,True,-0.10463740114712752,0.29992211294914856
1,2,0,17.0,0,0,10.5,False,True,-0.9499856776813305,-0.43700743807979686
1,3,0,33.0,3,0,15.85,False,True,0.27961181545932834,-0.32928686163157667
0,3,1,16.0,1,3,34.375,False,True,-1.0268355210026217,0.04370821849987721
0,3,1,28.0,0,0,8.05,False,True,-0.10463740114712752,-0.4863374216869257
0,3,1,24.0,0,0,8.05,False,True,-0.41203677443229225,-0.4863374216869257
0,3,1,29.0,0,0,8.05,False,True,-0.027787557825836348,-0.4863374216869257
0,3,1,20.0,0,0,7.8542,False,True,-0.719436147717457,-0.4902797934380587
0,1,1,46.0,1,0,61.175,False,True,1.2786597786361138,0.5833178351003071
0,3,1,26.0,1,2,20.575,False,True,-0.2583370877897099,-0.23415046467497105
0,3,1,28.0,0,0,8.05,False,True,-0.10463740114712752,-0.4863374216869257
1,1,1,23.0,0,1,63.3583,False,False,-0.48888661775358344,0.6272778976347743
1,2,0,34.0,0,1,23.0,False,True,0.35646165878061953,-0.18532384824750675
0,2,1,34.0,1,0,26.0,False,True,0.35646165878061953,-0.12491978668775715
0,3,0,28.0,0,0,7.8958,False,True,-0.10463740114712752,-0.4894421904510968
0,3,1,28.0,0,0,7.8958,False,True,-0.10463740114712752,-0.4894421904510968
0,3,1,33.0,0,0,8.6542,False,True,0.27961181545932834,-0.4741720436887921
0,3,1,37.0,2,0,7.925,False,True,0.5870111887444931,-0.4888542575852486
0,3,1,28.0,0,0,7.8958,False,True,-0.10463740114712752,-0.4894421904510968
1,3,0,21.0,0,0,7.65,False,True,-0.6425863043961658,-0.494391296561559
1,3,1,28.0,0,0,7.775,False,True,-0.10463740114712752,-0.4918744606632361
0,3,1,38.0,0,0,7.8958,False,True,0.6638610320657843,-0.4894421904510968
1,3,0,28.0,1,0,24.15,True,False,-0.10463740114712752,-0.1621689579829361
0,1,1,47.0,0,0,52.0,False,True,1.3555096219574048,0.39858208016340624
0,3,0,14.5,1,0,14.4542,False,False,-1.1421102859845584,-0.3573908580066095
0,3,1,22.0,0,0,8.05,False,True,-0.5657364610748746,-0.4863374216869257
0,3,0,20.0,1,0,9.825,False,True,-0.719436147717457,-0.4505983519307405
0,3,0,17.0,0,0,14.4583,False,False,-0.9499856776813305,-0.3573083057891445
